idRefSeq	N8	T8	N33	T33	N51	T51
NM_022725	81	43	137	164	157	316
NM_025137	1149	411	1381	1651	2469	2138
NM_001687	395	458	303	362	750	273
NM_018327	101	298	192	229	245	108
NM_002231	618	518	709	843	1728	1178
NM_024947	1029	755	1525	1815	2530	2614
NM_020919	320	233	394	471	937	926
NM_006628	1072	388	1189	1413	3277	4195
NM_017548	1122	1144	968	1151	3655	2388
NM_001115156	886	615	1102	1317	2081	2028
NM_001127491	255	203	241	889	1494	335
NM_014164	145	115	69	263	356	260
NM_016115	76	60	91	110	209	150
NM_052950	437	347	600	688	724	890
NM_025114	165	131	318	256	342	375
NR_003109	92	73	122	129	244	367
NM_001134382	435	345	393	559	1707	694
NM_003703	373	296	355	340	672	622
NM_194313	97	77	80	185	170	91
NM_001307	535	424	357	1059	315	167
NM_003331	583	463	626	811	2339	1135
NM_015045	1091	864	1201	910	2247	2275
NM_183360	67	53	89	108	133	56
NM_170713	244	194	342	523	1181	650
NM_001023587	571	454	676	1030	1399	970
NM_000026	276	219	256	443	813	467
NM_001003786	152	121	215	223	396	295
NM_001098511	375	298	379	404	672	525
NM_170712	230	182	341	513	1129	622
NM_052848	317	251	260	328	916	296
NM_001025300	462	368	465	1756	1056	626
NM_015015	453	361	363	537	1338	615
NM_172219	82	65	1	159	724	68
NM_001686	2949	2351	2750	3567	7873	5042
NM_173468	406	323	580	581	1162	1410
NM_016058	53	42	77	62	60	90
NM_153649	296	235	283	273	660	546
NM_019096	506	439	570	682	1407	959
NM_005731	1431	1041	1752	2099	2823	3167
NM_080391	330	297	305	365	1364	666
NM_170725	64	47	78	94	93	128
NM_015547	199	295	169	203	588	380
NM_052948	67	54	95	114	180	45
NM_002812	256	267	262	315	860	349
NM_022132	418	484	504	603	707	489
NM_001080417	260	220	211	253	660	470
NM_006856	795	183	831	996	2043	1623
NM_001130060	788	178	820	984	2002	1571
NM_000368	784	324	892	1068	1921	1526
NM_015079	512	354	444	534	1911	1495
NM_001240	266	65	227	272	413	526
NM_181313	116	91	208	249	370	310
NM_032172	162	56	201	241	215	214
NM_001030273	92	33	70	84	183	271
NM_001030272	92	33	69	83	182	270
NM_016172	452	369	499	598	962	647
NM_001178	92	33	70	84	182	274
NM_001078173	82	18	132	159	201	167
NM_181832	625	531	501	602	1471	925
NM_016418	625	531	501	602	1470	924
NM_001042573	367	575	315	377	1389	533
NM_001533	498	510	628	754	1201	869
NM_139126	222	174	295	354	371	375
NM_001494	921	653	1142	1370	2247	2174
NM_001008567	156	17	225	270	299	279
NM_181891	411	279	473	569	1041	975
NM_181890	404	229	458	551	984	959
NM_194332	384	99	404	485	882	824
NM_000534	171	87	257	344	369	272
NM_144683	50	36	38	116	60	44
NM_005885	1265	848	1674	2678	3070	2270
NM_001136258	310	222	391	722	947	699
NM_001136257	304	221	383	705	935	691
NM_015833	154	124	250	270	734	541
NM_001414	237	215	364	338	465	344
NM_021982	659	687	793	614	1701	1259
NM_001033082	390	722	493	352	1028	757
NM_006244	151	371	190	180	586	433
NM_001128911	843	315	1082	1706	1705	1259
NM_005016	845	315	1086	1706	1705	1259
NM_203298	60	152	154	113	176	130
NM_006710	151	78	194	308	578	427
NM_024771	249	314	267	280	611	452
NM_080797	618	474	814	1368	1595	1178
NM_001128914	780	300	1054	1657	1609	1188
NM_138479	49	39	63	28	114	84
NM_004818	625	402	514	977	1505	1109
NM_001099748	85	0	69	182	124	91
NM_001099750	85	0	69	182	124	91
NM_001099745	85	0	69	183	124	91
NM_001099744	85	0	69	182	124	91
NM_001099747	85	0	69	182	124	91
NM_001099752	85	0	69	183	124	91
NM_017786	85	0	69	182	124	91
NM_001099743	85	0	69	182	124	91
NM_001099751	85	0	69	183	124	91
NM_014098	149	90	232	294	557	410
NM_032595	863	968	795	852	2693	1992
NM_001040451	386	302	315	454	849	627
NM_173589	99	101	200	173	395	292
NM_004902	872	908	1642	1834	1965	1450
NM_184234	877	908	1646	1840	1968	1454
NM_006625	133	115	212	226	344	254
NM_006793	149	90	236	306	572	421
NM_001942	4095	3281	6120	1103	4708	6117
NM_014873	921	737	911	585	3008	2300
NM_030821	270	216	520	286	480	493
NM_001129995	596	476	618	964	1504	923
NM_001129994	596	476	618	964	1506	923
NM_174905	64	51	49	76	105	50
NM_001105537	341	272	295	543	857	568
NM_020935	430	344	410	444	770	779
NM_153437	103	82	136	265	327	203
NM_017652	98	78	106	93	217	202
NM_181719	153	122	179	100	318	250
NM_001024960	932	747	952	1514	3331	1669
NM_005881	187	149	102	267	525	265
NM_001024959	933	747	952	1515	3332	1672
NM_025135	125	100	169	322	581	405
NM_001191	565	453	466	822	1308	907
NM_016826	80	64	118	251	276	108
NM_133344	78	62	164	112	151	160
NM_001039802	134	107	212	142	495	659
NM_001093755	75	60	131	147	191	185
NM_001093756	75	60	131	147	191	185
NM_024941	75	60	131	147	191	185
NM_133338	83	66	178	119	172	176
NM_133343	83	66	168	119	167	171
NM_133342	83	66	171	119	167	173
NM_173829	332	265	569	322	748	797
NM_007182	231	185	349	525	1144	629
NM_170714	231	185	349	525	1144	629
NM_004520	372	298	373	399	665	521
NM_022900	140	112	221	208	440	523
NR_023353	139	111	226	350	343	173
NM_017934	641	513	974	973	1384	1162
NM_012434	54	43	78	106	287	179
NM_003898	287	230	299	579	953	503
NM_203500	430	343	407	554	1137	800
NM_012289	430	343	393	552	1136	798
NM_145637	164	67	134	162	846	664
NM_030882	164	67	134	162	846	665
NM_001004431	298	261	269	326	954	250
NM_001003396	500	234	640	775	705	845
NM_001003397	499	234	640	774	705	844
NM_017752	67	36	130	157	384	318
NM_013326	70	101	125	151	209	87
NM_148921	1092	545	1229	1486	1553	1464
NM_032889	229	121	198	239	430	333
NM_014828	528	349	453	547	1140	1135
NM_002109	385	417	376	456	816	403
NM_006852	69	54	75	91	139	143
NM_001112707	69	54	75	91	139	143
NM_198319	284	323	322	390	989	562
NM_017641	465	217	693	835	861	984
NM_006838	661	343	905	1095	1103	1336
NM_002598	101	81	113	137	237	175
NM_175054	141	112	148	179	136	103
NM_001130059	801	178	828	1003	2025	1621
NM_181311	117	91	208	251	376	315
NM_183236	215	33	144	174	665	529
NM_015635	1010	463	1388	1682	2362	2108
NM_183234	215	33	144	174	669	534
NM_017432	198	182	255	308	651	423
NR_024272	204	229	285	345	695	449
NM_000268	622	531	496	600	1462	918
NM_025155	110	36	172	208	264	212
NM_078474	91	55	116	140	243	237
NM_001723	12284	6110	16267	19590	8324	28511
NM_001001975	345	390	278	337	670	243
NM_052877	87	63	101	122	200	250
NM_001134423	1228	1352	1148	1384	4000	2834
NM_001024844	605	502	637	770	1668	1123
NM_000293	693	486	816	988	1326	1204
NM_006647	61	0	74	178	58	43
NM_001004127	137	123	132	144	311	231
NM_182976	319	291	579	254	585	436
NM_032802	246	263	471	330	925	688
NM_032807	609	483	586	958	1524	1130
NM_003168	122	131	206	140	384	285
NM_003846	195	342	320	232	615	456
NM_198450	129	51	186	273	396	295
NM_004747	1276	1004	1359	2445	2954	2202
NM_021003	603	545	959	1131	2407	1788
NM_014225	964	867	907	1078	3058	2280
NM_001098620	785	300	1055	1661	1612	1196
NM_001004125	182	141	93	118	340	252
NM_001009811	68	346	144	129	317	236
NM_014984	71	346	144	147	327	243
NM_017821	70	196	120	95	113	84
NM_004384	354	463	368	325	600	447
NM_001044723	354	463	368	325	600	447
NM_001044722	352	463	365	325	598	444
NM_001031812	352	463	365	325	598	444
NM_019088	260	280	338	281	544	404
NM_024820	86	36	128	183	345	256
NM_032788	183	218	252	248	432	321
NM_001009814	390	530	598	411	690	514
NM_015909	730	481	930	1542	2119	1576
NM_001040452	385	302	313	454	837	624
NM_016407	224	89	218	379	682	508
NM_003755	269	272	380	286	466	347
NM_014367	200	161	255	178	169	166
NM_033625	81	65	77	81	139	170
NR_002920	764	615	6513	3882	5401	6202
NM_000391	560	451	688	1117	3115	1990
NM_014877	1107	893	1198	814	2726	2807
NM_052891	137	110	152	165	148	196
NM_016202	111	89	58	48	211	164
NM_014267	249	201	549	388	567	855
NM_020943	209	168	362	211	373	510
NM_183049	642	516	939	826	2480	2716
NM_007045	113	91	152	113	216	172
NM_016264	133	107	125	94	180	155
NM_178150	604	485	572	940	1498	1116
NM_001033049	155	125	259	292	748	568
NM_004690	304	244	426	482	670	851
NM_012398	422	341	285	397	1195	492
NM_014832	636	512	737	945	2028	638
NM_033148	66	53	85	104	133	58
NM_183361	66	53	85	104	133	58
NM_014634	1118	900	945	1338	3694	1268
NM_012115	426	342	578	572	986	966
NM_001137668	421	339	574	572	982	964
NM_001137667	426	342	577	572	985	966
NM_015306	1558	1259	1814	1505	4001	3346
NM_001984	324	261	384	371	592	512
NM_015231	458	369	601	688	1232	1178
NM_020679	167	134	115	573	338	240
NM_033546	411	330	581	1367	990	642
NM_006571	72	58	105	93	94	97
NM_152792	96	259	54	66	299	80
NM_174919	63	62	63	77	142	84
NM_003287	500	234	643	780	706	846
NM_005419	1104	847	1099	1337	3716	3427
NR_024012	153	144	118	144	403	215
NM_014964	1093	545	1229	1491	1559	1467
NM_004906	287	279	388	472	825	585
NM_198318	277	294	315	383	969	551
NM_001003828	151	333	175	213	667	203
NM_006624	518	196	514	626	1174	1178
NM_000181	81	71	99	121	212	103
NM_144572	521	355	448	547	1948	1504
NM_004580	215	33	152	185	670	531
NM_032989	97	307	78	95	265	192
NM_004886	112	109	140	171	333	139
NM_006386	6775	6693	8232	10044	16290	11537
NM_001098504	6775	6693	8232	10044	16290	11537
NM_001136026	189	225	269	327	644	394
NM_001004722	287	153	275	335	550	562
NM_053067	995	704	1047	1276	2063	3075
NM_078487	556	3	825	1007	665	4320
NM_004936	551	3	821	1002	664	4317
NM_014801	334	157	484	589	475	404
NM_001098615	234	91	318	387	392	332
NM_001042572	692	522	790	962	1213	1231
NM_014675	166	602	401	488	835	461
NM_053043	771	734	1000	1218	1760	822
NM_020230	320	389	366	445	727	451
NM_002335	385	556	281	342	803	468
NM_001136049	63	51	87	91	140	199
NM_002429	62	50	38	178	538	164
NM_182943	319	258	278	350	1604	632
NM_000935	318	258	276	350	1598	632
NM_003958	187	152	188	196	393	426
NM_024770	365	296	563	682	548	693
NM_000975	1600	1299	2382	2870	3646	2901
NM_007074	172	139	139	209	868	244
NM_001122957	192	156	102	278	542	279
NM_004259	406	329	423	2174	683	443
NM_015107	766	622	528	902	1368	914
NM_194271	157	127	187	283	349	230
NM_025126	157	127	186	283	346	229
NM_138635	446	362	515	1003	1458	564
NM_000116	120	97	238	274	410	338
NM_014662	195	158	276	395	485	272
NM_006294	235	191	329	128	524	575
NM_203495	109	88	174	158	292	328
NM_001100626	336	273	314	845	722	480
NM_015906	853	692	1165	789	1717	1742
NM_025133	515	419	683	804	1146	1166
NM_001085487	343	279	524	531	631	741
NM_019082	453	367	368	604	1115	503
NM_003594	293	237	404	395	555	612
NM_005644	90	73	123	140	230	253
NM_016029	161	130	209	317	924	590
NM_020954	1148	603	1091	1580	3607	2697
NM_001128143	163	86	233	311	325	243
NR_002913	2270	5149	79715	23356	14801	11049
NM_173552	310	355	495	372	460	343
NM_001038618	182	206	157	178	566	424
NM_145021	150	171	144	116	359	269
NM_001002265	150	171	144	116	359	269
NM_138364	81	85	176	80	292	219
NM_000454	351	554	516	290	704	527
NM_182851	82	31	87	241	169	126
NM_004640	1229	1577	1847	2171	3180	2387
NM_006802	166	155	148	180	427	320
NM_018046	224	324	319	248	609	456
NM_001099857	69	75	92	111	177	132
NM_001080481	162	24	192	346	476	356
NM_199043	148	62	215	343	478	357
NM_001517	128	148	188	212	301	225
NM_031989	841	315	1082	1700	1665	1242
NM_001128912	839	315	1078	1700	1665	1242
NM_020365	158	140	128	118	432	324
NM_001144	894	1099	853	836	2173	1625
NM_001099749	81	0	67	174	118	88
NM_001099746	81	0	67	175	118	88
NM_031209	150	140	183	172	224	168
NM_001130912	200	184	228	149	344	258
NM_006704	200	184	228	149	344	258
NM_013338	80	108	109	99	231	173
NM_015040	753	769	1003	865	2155	1615
NM_001039938	202	339	350	196	480	360
NM_001136156	419	305	495	622	797	598
NM_014910	417	305	487	617	791	593
NM_015602	439	434	569	572	1277	954
NM_001846	1460	3836	2090	2554	27174	6509
NM_032017	582	656	349	429	1183	678
NM_024710	133	143	104	128	437	258
NM_001136201	133	140	104	128	437	256
NM_152998	235	279	322	395	410	123
NM_001017405	277	166	275	336	608	696
NM_144665	774	389	1143	1399	1269	6457
NM_001241	499	354	758	926	1305	1151
NM_014473	99	106	97	119	248	118
NM_198229	389	228	424	521	785	664
NM_016286	185	169	178	218	247	120
NM_001536	281	309	316	388	977	559
NM_006255	423	412	592	726	993	655
NM_000895	683	225	618	756	755	767
NM_001102399	375	342	450	550	779	528
NM_015395	286	365	342	419	1387	544
NM_003761	237	167	223	273	367	453
NM_001136232	204	224	284	348	690	462
NR_024273	200	218	281	345	683	445
NM_183352	200	218	281	345	683	444
NM_181829	622	527	492	601	1449	918
NM_021107	47	109	57	70	121	71
NM_014630	548	212	537	659	1373	1045
NM_031292	226	80	310	381	387	310
NM_001098614	226	80	310	381	383	309
NM_182709	298	379	409	501	777	481
NM_018338	70	48	131	161	212	219
NM_033363	47	107	57	70	121	70
NM_014607	1592	1282	1848	2259	3520	3939
NM_022773	82	39	101	124	236	185
NM_178502	100	27	104	128	253	256
NM_194329	375	102	386	473	869	820
NM_001008408	771	734	1000	1226	1760	827
NM_012432	435	348	522	642	1114	1062
NM_052869	59	48	43	276	279	116
NM_153717	415	338	497	765	1767	1253
NM_001042465	5374	4400	4619	9226	26654	13314
NM_001042466	5374	4400	4624	9233	26673	13319
NM_002778	5370	4398	4592	9214	26586	13281
NM_022908	315	257	263	468	811	507
NM_001497	1119	913	972	1723	3766	2004
NM_024573	136	111	208	215	374	403
NM_033394	999	817	1440	1686	1570	1548
NM_152334	147	120	197	244	494	279
NM_003505	185	151	168	523	1390	763
NM_006264	2422	1979	2215	1967	1942	2408
NM_080685	2426	1983	2218	1971	1942	2409
NM_080683	2426	1983	2218	1971	1942	2409
NM_080684	2352	1920	2138	1930	1846	2278
NM_016410	165	135	210	284	393	277
NM_001430	1608	1312	880	2091	9991	3898
NM_004850	788	643	793	743	1731	1334
NM_031454	295	240	234	569	786	357
NM_018690	64	52	85	187	677	140
NM_001042412	996	813	1125	1114	2532	2836
NM_001042355	996	813	1125	1114	2536	2837
NM_015205	559	457	450	715	1635	821
NM_181312	119	97	238	272	404	333
NM_016248	1178	961	1309	1385	2794	2409
NM_013354	183	149	251	376	542	358
NM_052865	157	128	245	303	327	162
NM_001003694	258	210	182	337	549	287
NM_005611	683	556	1130	1130	2029	1761
NM_001128846	1297	1062	1144	1570	2508	1852
NM_001128847	1297	1062	1138	1559	2506	1854
NM_001128845	1299	1062	1144	1570	2512	1857
NM_012243	174	142	344	183	303	435
NM_032833	1074	876	1378	1575	2619	2641
NM_033020	850	692	1159	789	1716	1738
NM_004762	790	645	857	1054	1561	945
NM_017456	790	645	857	1054	1561	943
NM_001329	102	83	128	179	322	194
NM_001100913	520	426	451	850	1846	995
NM_006459	343	281	321	844	732	479
NR_003002	3464	2827	9626	11108	6298	7040
NM_002490	146	119	246	269	285	259
NM_006893	274	224	224	349	558	302
NM_016213	92	75	233	231	320	376
NM_001037175	143	103	183	408	80	60
NM_015288	418	1197	305	283	983	739
NR_003688	12749	28520	50669	45412	26315	19829
NM_004157	506	468	399	444	1192	901
NM_002946	243	154	160	247	711	537
NM_000968	286	90	362	584	731	549
NR_002440	1700	5177	51195	24597	10179	7654
NM_001455	162	47	124	246	469	354
NM_001024732	56	65	74	86	155	117
NM_013375	119	143	112	100	310	234
NM_182852	85	31	88	242	173	130
NM_178509	103	74	155	264	278	209
NM_003009	345	575	515	490	1391	1050
NM_021178	81	32	87	241	167	126
NM_003498	371	296	209	523	1049	793
NM_016481	89	35	102	141	238	179
NM_015088	2245	1516	2176	3601	5767	4342
NM_080598	1155	1508	1769	2026	2963	2228
NM_005119	1106	1282	1400	1430	2805	2115
NM_001008662	129	173	277	202	280	211
NM_001029939	397	221	114	381	298	225
NM_002154	1193	1336	982	1142	1748	1318
NM_015442	229	112	250	308	383	289
NM_001018108	1130	1398	1505	1501	2755	2077
NM_178542	62	52	82	78	214	161
NM_000126	417	203	397	519	841	633
NM_001137551	223	323	313	386	1159	485
NM_018688	94	199	145	179	460	198
NM_001037278	93	61	114	141	273	356
NM_144568	154	146	178	220	431	259
NM_000431	159	138	146	180	276	178
NM_022830	199	261	165	204	540	223
NM_006791	120	67	119	147	278	327
NM_145253	153	134	134	165	365	203
NM_000617	494	222	601	743	1157	921
NM_001102397	375	339	446	550	779	528
NM_001102398	394	343	459	565	807	555
NM_144999	91	223	116	143	237	171
NM_022835	492	458	343	423	2078	784
NM_014719	69	71	63	78	171	91
NM_139157	574	153	410	505	1283	989
NM_007005	272	134	321	395	589	895
NM_001135765	6352	5594	5992	7405	15720	9120
NM_170665	6390	5605	6041	7447	15820	9233
NM_153265	757	1046	702	867	2040	883
NM_001003692	28	67	75	93	205	114
NM_019103	28	67	75	93	205	115
NM_001382	144	45	120	148	366	350
NM_194328	389	99	410	506	891	829
NM_080820	99	127	93	115	246	88
NM_003025	530	504	405	500	1180	490
NM_000896	66	54	103	234	58	22
NM_001008844	36463	30077	42952	33923	36333	76698
NM_182398	153	126	313	201	238	214
NM_178169	90	74	123	227	437	245
NM_182639	118	97	183	279	405	154
NM_004913	234	192	276	566	678	418
NM_175061	84	69	207	67	252	472
NM_014650	56	46	127	144	184	196
NM_030938	1503	1233	2024	2094	4235	3859
NM_003257	2720	2239	2935	2032	4557	4147
NM_201436	140	115	204	343	480	228
NM_012412	140	115	204	343	480	228
NM_015247	1000	822	1129	1115	2547	2856
NM_007372	946	777	1170	991	2287	1824
NM_203499	944	777	1162	989	2286	1821
NM_000462	667	548	750	921	1466	1458
NM_130838	666	548	750	900	1468	1459
NM_001128848	1295	1062	1138	1559	2502	1849
NM_006313	702	578	1009	916	1678	1731
NM_015197	518	426	451	850	1846	995
NM_001042370	242	199	253	178	356	461
NM_019892	185	152	182	340	407	247
NM_014453	212	174	328	288	441	357
NM_005202	201	165	154	298	504	383
NM_014508	107	73	60	175	217	164
NR_022008	584	797	10498	2744	1994	1509
NM_177438	1604	1065	1548	2443	4053	3084
NR_003065	1975	5526	63039	23960	19325	14646
NM_001136036	265	301	317	345	435	331
NM_032856	170	123	188	392	536	408
NM_002412	57	71	62	64	148	112
NM_001042548	161	91	253	375	439	333
NM_005102	161	91	249	375	439	332
NM_019597	580	408	756	976	1501	1139
NM_001039708	118	71	107	310	278	211
NM_003576	995	952	1000	1124	1281	974
NM_017970	174	90	240	393	514	389
NM_001048249	315	397	429	391	562	427
NM_004233	58	63	212	203	217	165
NM_001040280	58	63	212	203	217	165
NM_015276	1785	782	1577	3777	6725	5107
NM_032292	307	359	442	444	934	711
NM_177444	106	138	180	181	400	303
NM_030645	329	347	316	379	1009	766
NM_001099754	87	0	69	182	127	96
NM_013274	163	124	186	262	366	278
NM_005151	611	539	726	752	1260	959
NM_001099753	87	0	69	182	127	96
NM_006521	280	188	173	524	723	547
NM_001113324	66	53	55	86	136	103
NM_145911	65	50	62	131	137	104
NM_016107	941	736	1175	1690	2450	1862
NM_199139	375	181	385	478	816	1304
NM_024302	55	12	69	86	65	335
NM_005572	3510	5131	4079	5064	8232	5452
NM_144724	132	92	137	170	84	142
NM_030662	180	295	178	222	647	198
NM_020920	1237	976	1251	1557	2447	2633
NM_022553	598	490	762	944	1236	1009
NM_006500	545	485	843	1044	4419	1390
NM_058241	521	361	760	946	1345	1176
NM_001100814	154	146	178	221	431	260
NM_018210	330	529	284	353	1013	666
NM_017905	275	483	406	504	1249	903
NM_012192	336	212	375	466	1181	925
NM_015705	614	825	619	771	1558	1153
NM_001271	1933	1440	2175	2705	3976	4079
NM_024897	57	32	86	107	83	71
NM_173191	58	58	40	50	127	93
NM_173192	58	58	40	50	127	93
NM_014591	58	58	40	50	130	93
NM_005826	394	340	455	565	807	555
NM_020845	237	317	245	304	734	413
NM_001040441	107	58	72	90	275	292
NM_014827	353	176	253	314	642	565
NM_022827	186	218	383	477	1182	508
NM_022373	245	152	299	372	586	572
NM_007014	374	457	503	627	822	560
NM_032667	196	416	139	173	444	227
NM_004218	289	271	293	365	687	392
NM_006364	566	335	581	720	1965	2032
NM_016539	111	156	136	169	257	140
NM_020695	308	296	285	354	641	272
NM_001033556	140	260	173	215	484	249
NM_144601	57	47	81	161	455	292
NM_014654	458	379	224	416	1496	1074
NM_032813	149	123	153	197	195	116
NM_145858	140	116	180	104	233	201
NM_001105545	245	203	292	225	474	427
NM_001003	489	405	768	1836	1565	933
NM_001123378	218	181	200	371	737	404
NM_005805	297	246	361	394	626	763
NM_078469	116	96	131	292	300	209
NM_024325	151	125	96	141	350	197
NM_002024	358	297	682	614	933	887
NM_178586	448	372	543	540	1230	1219
NM_138285	68	56	109	132	123	103
NM_001031685	401	331	815	610	1027	820
NM_005426	401	331	815	610	1027	820
NM_002719	452	373	556	542	1250	1245
NR_015431	293	243	176	292	732	399
NM_005730	1020	844	606	921	3881	2437
NM_148976	306	254	476	473	589	978
NM_001134795	57	47	95	120	169	71
NM_017643	297	246	547	404	771	787
NM_032189	559	464	450	717	1653	814
NM_005919	57	47	95	120	169	69
NM_004872	898	742	1489	1058	2123	1739
NM_014977	1344	1111	1482	2210	3393	2206
NM_203497	109	90	174	158	292	329
NM_032982	419	347	391	692	842	627
NM_001029859	105	87	100	67	433	473
NM_004634	253	210	176	330	549	284
NM_015318	440	365	340	457	982	533
NM_025158	387	321	324	456	858	629
NM_016651	58	58	43	54	334	221
NM_001079520	58	58	43	54	329	215
NM_001003943	101	199	79	99	1179	634
NM_030915	170	182	243	305	1397	966
NM_001079817	445	390	383	479	2611	1211
NM_000208	445	390	383	479	2611	1211
NM_031415	964	367	1000	1251	879	1900
NM_032689	79	91	154	193	197	127
NM_176871	270	250	195	245	350	75
NM_153273	348	518	427	536	1015	631
NM_133263	151	399	172	216	213	81
NM_018561	37	55	43	54	102	70
NM_002340	818	1687	725	907	1704	1259
NM_001131025	365	418	331	414	1144	770
NM_004239	769	486	800	999	1487	1772
NM_016265	242	111	440	551	518	720
NM_015694	107	148	126	158	281	188
NM_080616	157	214	99	124	825	449
NR_024048	119	91	208	260	377	316
NM_001017979	96	61	108	135	173	211
NM_001037637	460	391	402	502	565	348
NM_003194	148	105	144	181	275	321
NM_018085	799	622	866	1085	2067	1584
NM_013438	1048	712	1066	1337	2104	3192
NM_182710	313	407	431	538	829	505
NM_006388	308	401	428	537	821	501
NM_181893	360	164	424	530	897	889
NM_001134422	1332	1528	1216	1522	4301	3030
NM_031844	3417	3740	3822	4768	7009	4882
NM_004501	3402	3724	3806	4753	6993	4872
NM_194330	374	93	389	487	866	816
NM_024529	313	238	379	475	662	831
NM_024429	94	103	126	158	206	80
NM_181888	417	264	460	576	1006	983
NM_001005335	474	426	570	715	1143	845
NM_004415	41780	34746	49854	38320	41008	88005
NM_002998	201	168	227	363	1292	696
NM_014640	249	207	266	365	659	480
NM_001034915	1344	1123	1413	1392	1236	4126
NM_017697	1346	1123	1414	1395	1236	4134
NM_001122825	1271	1063	1378	1325	1153	3917
NM_023016	1586	1325	1465	1596	1090	1903
NM_005081	346	288	306	570	905	589
NM_001105544	250	208	298	229	501	432
NM_017846	88	73	122	125	241	366
NM_175610	2680	2234	2911	2019	4514	4130
NM_194283	384	320	518	687	868	643
NM_014930	138	115	124	167	380	268
NM_018994	300	250	292	314	641	638
NM_000264	103	86	81	275	231	138
NM_001104548	1556	1296	3360	2881	1018	2539
NM_015295	1058	882	1068	1901	2428	1303
NM_003823	90	75	53	96	528	191
NM_006642	164	137	302	144	455	421
NM_032991	317	264	362	349	794	698
NM_020772	2726	2276	2240	2304	5463	5787
NM_032389	911	758	1085	1026	1998	1703
NM_004346	326	271	365	363	800	710
NM_014856	677	564	476	978	2082	867
NM_001128849	1312	1095	1150	1594	2546	1894
NM_018323	242	202	428	425	578	621
NM_014236	269	225	322	298	700	558
NM_030581	435	362	593	706	778	620
NM_006116	297	247	297	435	733	530
NM_017982	262	187	287	669	139	106
NM_138316	55	66	83	56	139	106
NM_001315	755	714	920	819	1964	1499
NM_030621	1630	1057	1570	2453	4069	3120
NM_003435	50	45	80	62	126	96
NM_080591	443	510	897	606	1841	1408
NM_002035	703	544	630	834	1336	1022
NM_176096	262	238	415	361	622	476
NM_001032393	577	408	749	962	1487	1134
NM_004612	848	618	1469	2047	3120	2380
NM_004993	318	238	572	769	894	685
NM_005869	70	180	151	126	204	156
NM_199262	101	78	54	73	239	183
NM_001024843	1892	1310	1804	3008	4633	3552
NM_018984	578	435	516	909	1616	1234
NM_016470	244	202	385	657	384	294
NM_203458	133	132	255	133	376	287
NM_001037553	956	1075	627	766	2370	1808
NM_020132	992	1110	640	768	2387	1830
NM_152405	602	728	715	794	1470	1126
NM_016034	251	116	144	589	395	301
NM_001099755	84	0	67	179	122	93
NM_001130927	819	768	1046	1239	3525	2702
NM_014870	704	781	663	524	1822	1396
NM_001034023	133	200	206	191	281	215
NM_001130926	833	787	1057	1252	3620	2776
NM_020830	403	282	440	781	1313	1001
NM_194282	200	228	304	263	566	432
NM_021033	568	496	808	545	1376	1049
NM_001135947	249	136	220	684	698	534
NM_012262	335	514	449	230	1199	916
NM_145116	149	73	143	181	160	171
NM_203354	79	60	131	165	159	210
NM_032345	252	105	261	329	424	371
NM_001136202	104	133	90	114	343	204
NM_021976	333	345	384	483	1094	616
NM_014853	852	769	772	972	1920	979
NM_000161	111	124	152	192	354	155
NM_020441	284	385	244	308	696	348
NM_005663	209	106	193	243	297	238
NM_005470	624	440	897	1131	1103	1634
NM_001012750	615	439	888	1121	1098	1616
NM_001012752	615	439	888	1121	1098	1616
NM_001540	2732	1372	2095	2638	1788	2993
NM_001001787	549	435	523	660	805	2297
NM_002918	113	157	158	199	330	223
NM_007350	1739	1299	2016	2540	2476	5135
NM_194463	85	0	102	129	46	707
NM_004943	273	302	251	317	860	616
NM_001024596	135	60	184	232	320	517
NM_032407	94	48	45	57	214	245
NM_001111112	1031	539	1332	1682	2113	2711
NM_005339	1118	579	1388	1753	2218	2906
NM_017983	108	146	119	150	1166	321
NM_001099856	43	50	65	82	138	103
NR_003573	607	222	1095	1383	1432	1744
NM_022781	380	102	392	494	878	825
NM_001013631	80	61	138	174	148	184
NM_020933	193	140	214	269	482	441
NM_001122827	1269	1063	1377	1322	1153	3909
NM_033029	55	46	87	68	121	186
NM_017819	224	188	315	385	349	426
NM_001018053	285	240	365	462	747	241
NM_183078	179	150	179	177	377	399
NM_016255	230	193	329	171	751	811
NM_001412	113	95	213	139	382	426
NM_001128426	189	159	271	256	352	472
NM_001012339	380	320	514	670	861	637
NM_147202	239	201	138	290	1173	389
NM_138578	680	572	587	981	1559	1043
NM_033113	49	41	58	68	130	141
NM_016035	144	121	136	262	262	160
NM_003250	197	165	217	664	711	268
NM_024630	75	63	83	146	263	109
NM_153746	75	63	83	146	263	105
NM_016052	278	233	351	269	505	404
NM_014886	67	56	85	66	63	52
NR_002442	1758	1478	9353	20923	13165	5906
NM_182483	436	366	339	623	848	343
NM_015457	1702	1428	1672	1894	2657	2926
NM_145109	379	318	295	769	852	459
NM_002873	86	72	170	122	195	180
NM_015261	451	378	551	434	865	993
NR_002976	9138	7650	110415	44034	52123	55266
NM_003449	651	548	779	779	983	822
NM_198225	80	18	151	200	425	328
NM_139012	762	730	921	827	1971	1517
NM_003748	653	277	488	676	744	574
NM_007271	556	586	639	783	1283	987
NM_002180	140	342	207	180	417	321
NM_001130916	837	600	1437	2027	3051	2348
NM_015091	314	269	478	523	993	765
